text,url,lang
"The scene, the song... 💔💔💔
Sublime performance by 
⁦@dmtzdmr⁩ and ⁦@ibrahimcelikkol⁩ 
#DoğduğunEvKaderindir ⁦@dogdugunev⁩ 
#SezenAksu https://t.co/WNIGqrRiFf",https://twitter.com/jrodgonz/status/1223716460591271936,turkish
"Since the beautiful #sezenaksu is now trending in Turkey, we wanted to share this beautiful scene from #DoğduğunEvKaderindir 🖤 https://t.co/6BOPym2xyA",https://twitter.com/DO_WorldWideFC/status/1223201449892552704,turkish
"How perfect they are 🥺💗
#NarGed #sezenaksu 
 https://t.co/VW0xIVBZkK",https://twitter.com/divngil/status/1227040572160008193,turkish
Ah be #sezenaksu https://t.co/qFcWX1syS5,https://twitter.com/yalirgavs/status/1230758906634223618,turkish
"The Queen 👑 
Perfection in singing, acting, &amp; she’s a Goddess🙌🏼❤️ 
#sezenaksu #BirceAkalay @BrcAkalay https://t.co/PaOse1tp7e",https://twitter.com/AlaAbed3/status/1047807545463767041,turkish
"New project acrylic #abstract #painting , large canvas , cheers all #sezenaksu https://t.co/kwJ313t4Xu",https://twitter.com/paschamo/status/909465600178769920,turkish
#SezenAksu - Begonvil https://t.co/YT2AH3zAMh,https://twitter.com/muzige_dokun/status/1019140096816230401,turkish
DJ JINGLE - Rakkas (Club Mood) ❌#online dj #deejay #jingle #house #rakkas #clubmood #remix #sezenaksu #2017 #studio #recording #mastering #work #producer #music #producing #making #beats #frankfurt #germany https://t.co/B7sf18cS38,https://twitter.com/dj_jinglee/status/932601224020615168,turkish
Son ses ❣ #SezenAksu https://t.co/f4u4nfmzWe,https://twitter.com/yaseminsmsekk/status/851900615185899521,turkish
"from today you OWN this song #CemKer 🔥 
Sezen Aksu is a legend of Turkey
#MelisaAsliPamuk #AlperenDuymaz #SezenAksu https://t.co/U2DLg4Pb4u",https://twitter.com/DYavder/status/1096539807801663488,turkish
"happy birthday mom 💕💞💘
#sezenaksu https://t.co/As35R24yhO",https://twitter.com/mojocum/status/1150055942534377473,turkish
"I was always dreaming of having a #SezenAksu song with #YağHaz , all her songs are awesome and emotional. Her voice moves me a lot. The lyrics are good. Her style defintely fits our couple.
I am soooo happy ❤️❤️❤️ https://t.co/pYicQHNnej",https://twitter.com/MoonAlev/status/985115880190291968,turkish
"""I wanted to be singer since I was kid"" said and Farah's dream finally becomes reality. According to ""Posta"" the actress recently knocked the door of Sezen Aksu and told her she would make an album. #SezenAksu is currently preparing a song for Farah! 

#FarahZeynepAbdullah https://t.co/sQwGvCkhMF",https://twitter.com/farah_greekpage/status/962264532138840064,turkish
yine #sezen #sezenaksu https://t.co/5X7AsPhOSN,https://twitter.com/yuregim8284/status/1078251810387828736,turkish
"#sezenaksu kiss,, mmmuckkk 😀😘 http://t.co/FjMAq57cOE",https://twitter.com/serhanyasdiman/status/565270581109866497,turkish
"Geridon , #sezenaksu https://t.co/toHQHq84PZ",https://twitter.com/alialliilili/status/1177609309322125312,turkish
#sezenliyillar city of #sezenaksu &amp; angels..😉 http://t.co/pEjWpid6zG,https://twitter.com/basaktuysuz/status/621054871601606656,turkish
"Twitter👉@HananeElKhader
Fb👉https://t.co/QCIygP9AMc?…
instagram👉 https://t.co/PP23Zv7eHY
#sezenaksu
#robotics https://t.co/R1YXj51m1g",https://twitter.com/AkikHadou/status/687250867645452288,turkish
"They deserve the whole world 😭💗💗💗💗
#NarGed #sezenaksu https://t.co/F4g6JHkLlC",https://twitter.com/divngil/status/1237189537790595073,turkish
#sezenaksu forever https://t.co/AsJV28QCzC,https://twitter.com/huseyintapinc/status/1236955186888765440,turkish
"I want Hercai to have this on in of Reyyan/Hazar/Miran dramatic scenes! This captivated me 🙏😭
Sezen Aksu is a living legend wow 🤯👏

#Hercai 🦋#kendimiaffetmiyorum #ReyMir #sezenaksu https://t.co/gXJdE5nYLl",https://twitter.com/SaraPotter777/status/1236423554440331265,turkish
I've been imprisoned in you. I've stolen from my own life. I've traveled 7 continents. It changed nothing at all. #sezenaksu,https://twitter.com/fairisabel1/status/1234567223366340609,turkish
"Neither before you, neither after you. Oh this separation worse than the death. Time is not passing for me. Neither my family or good memories are enough to make me feel alive. #sezenaksu",https://twitter.com/fairisabel1/status/1234566964594532353,turkish
"Mehdi is such a great character and Ibo is just made for this role! 👊🥰Soo many emotions, he is able to tell you everything even in silence! Listen to this wonderful song! 👑❤️#DemetÖzdemir #İbrahimÇelikkol #DoğduğunEvKaderindir #ZeyMeh #SezenAksu https://t.co/rE1LjSlKGg",https://twitter.com/Nina_Anaiis/status/1227358444803502081,turkish
"Short version of “Gidiyorum” from #sezenaksu .... 🎤🎶🎤🎶 :) I am from 90s so I listened almost every day this song in the 90s ... sooooo old hehe 😉 .
WARNING ⚠️: watch out for your ears 👂.

#listentoyourheart #listentomusic #turkishsong #turkcemuzik https://t.co/HDCjXD4XDr",https://twitter.com/paschamo/status/1223267391792123905,turkish
"I wrote about @ladygaga , @BarbraStreisand , and #sezenaksu on @AjamMC and I may have peaked: https://t.co/nbM8yNPxuN https://t.co/Is02QJTwxZ",https://twitter.com/hepkaner/status/1051868822569926656,turkish
"RT!! Vote!!  #CagatayUlusoy #Delibal #MutluSonsuz #SezenAksu @cagatayulusoyy 
@cagatayulsycao @CUworldwidefans @cagataymyhoney @SerCagatayfans @cagatayyfanclub @CagatayyUlusooy @CUgamze19 @67Dimitriu4 @zotafili @adelageru23 https://t.co/IvSwEoTidF",https://twitter.com/cagatayulsycao/status/989116021285023744,turkish
"""To start my life again"" 🎶🎶
And that's how Anne finished 👏🏼👏🏼👏🏼👏🏼❤️ @MineGKYLDZ
#anne #CansuDere #BerenGökyıldız #VahidePerçin #sezenaksu ❤️ https://t.co/cPwHRmqZYQ",https://twitter.com/anotthergiirl/status/877488947265449984,turkish
