text,url,lang
"Is Asia Really Such A Place? May God Protect Us

#CoronaViruesue 

https://t.co/RGwr9yW9tn",https://twitter.com/OfficialJBVotes/status/1220635712929910785,turkish
"Powerful Arabic message from a Uyghur Muslim about the coronavirus in China

#uighur, #coronavirus, #CoronaViruesue https://t.co/IXS26mYM6I",https://twitter.com/bu_noor89/status/1226136691876016135,turkish
"The bodies are everywhere in the hospital.
#coronaviruschina 
#CoronaViruesue 

 https://t.co/3mJvkbNTDL",https://twitter.com/BABAYAGa2_0/status/1224713695311339521,turkish
"#GodMorningWednesday

Stop Dancing in the name of God.
Start worshipping Supreme God Kabir after taking initiation from saint Rampal Ji Maharaj im order to attain complete Salvation.

Watch Sadhana TV channel at 7 30 PM 
#CoronaViruesue https://t.co/fJ2Un3lmBa",https://twitter.com/PREETMEHTA1313/status/1229958266576347142,turkish
"For Biological Warfare. It turned out that a virus laboratory was established in 2017 in Wuhan city

Poisonous China Toxic Waste Made in China PRC  Corona Virüs  Gessner #CoronaViruesue https://t.co/TAFHbwZj3Q",https://twitter.com/ns571/status/1220665509001285632,turkish
"#CoronaViruesue is an international threat, but @MTVLebanonNews turns it to a “Shiit” war coming from Iran attacking Lebanon,even with world health threats/death rates this TV station has no limits, no sense of humanity...
#Mtvirus https://t.co/I2UEw5le4q",https://twitter.com/marc_zabbal/status/1230962754196049922,turkish
"#كورونا_الجديد 
#كورونا
#CoronaViruesue 
#virus 

This is funny ... 😂 😂 https://t.co/GDkBIzCOUF",https://twitter.com/1Radhii/status/1237265278339362816,turkish
"#CoronaViruesue instead of tweeting about how disgusting China is, why not we focus more on keeping personal hygiene standards high and praying for the nations. Ah, humanity",https://twitter.com/thatfearlessgal/status/1220649474948657154,turkish
"A Chinese’s reaction to the west about recognizing #CoronaViruesue as Chinese virus.

He said: Don’t say Chinese virus, doesn’t belong to us...
#Chinese https://t.co/VqL9sUN5nd",https://twitter.com/rising_sun1992/status/1225830720842731521,turkish
"#China is preparing to burn 30 MILLION BODIES per day, if this is true, the numbers 😨
#CoronaViruesue #Coronavirius #coronaviruslombardia #coronavirusargentina #CoronavirusOutbreak #wuhancoronvirus #CoVid2019 #COVID19italia #COVID 
 https://t.co/pcb8tJOCQY",https://twitter.com/TScelzo/status/1232039574593064960,turkish
How I met with  #CoronaViruesue https://t.co/3vKw9UiZIr,https://twitter.com/onbesharfliisim/status/1230895331874832384,turkish
Technology in the way of fighting #CoronaViruesue in China https://t.co/d9E79bqc6J,https://twitter.com/EmilySc63084734/status/1231191004738248710,turkish
If I carry on seeing Chinese cuisine on my timeline #CoronaViruesue https://t.co/vFyphh5Xwr,https://twitter.com/melikegmscskn/status/1220705210882019329,turkish
"The Prime minister of China who had declared to Stop Islam in China Now went to Masjid to offer Namaz  and praying Allah against Corona virus.

#CoronaViruesue https://t.co/NjYy7YFiav",https://twitter.com/Gemini_Khi/status/1225458164579151873,turkish
"Corona Virus (a thread)
#CoronaVirus #CoronavirusOutbreak #coronavirusPH #Coronavirustoronto #CoronaViruesue #CoronavirusChino #coronavirusuk #CORONAVIRUSENFRANCE #coronationstreet #Coronaphobia #Koronovirus #CoronaViru https://t.co/tnHNTEMi2w",https://twitter.com/AntonDinesh7/status/1221620185909477376,turkish
"World’s shortest horror movie.

😬

#corona #coronavirüsü #coronavirues #coronaviruswuhan #coronaviruschina #WuhanChina #HealthyLiving #VirusCorona #coronavirus #koronavirusu #COVID19 https://t.co/TxKktPBK6v",https://twitter.com/HAYALETYETER/status/1232919295052697600,turkish
"Aspects of #hearts all over the place this morning. Much needed with so much concern with #coronavirüsü 

#heartfilled 
#heartfilledwithlove 
#heartfilledwithjoy 
#heartfilledwithgratitude https://t.co/8jIbm0RO2X",https://twitter.com/SimplyCoachB/status/1237343828597542912,turkish
"#coronavirüsü #coronavirus
Be safe https://t.co/98dggEkPuZ",https://twitter.com/RomeoMogapi/status/1237302972578660352,turkish
Well damn .... #coronavirüsü https://t.co/tGrRoAzdIo,https://twitter.com/ThasLegend/status/1237273427553202176,turkish
"REST... 
#CoronaViruesue 
#coronawirus 
#coronavirus 
#Corona 
#cratos 
#merit 
#montecarlocasino 
#casinodeibiza 
#wynnlasvegas https://t.co/XEqILofEIJ",https://twitter.com/sleymankaplan4/status/1237113344601083906,turkish
"'Qom must be quarantined immediately! The situation has gotten much worse...' 

News editor in the Shia holy city of Qom in Iran (near the Fordow nuclear facility, suspected of nuclear weaponization activity) 👇

#Iran #CoronaViruesue
#irancoronavirus
https://t.co/L2fblq6oEN",https://twitter.com/OS26/status/1232325302346551297,turkish
"Completed and shipped for testing by the Moderna Inc., this might be the breakthrough everyone is waiting for. 💉 
#Corona #CoronaViruesue 
https://t.co/g0TXQXlpDk",https://twitter.com/IntEngineering/status/1232323663459950592,turkish
". @WHO &amp; @DrTedros
The Iranian people need support.
The officials of the Islamic Republic and the #CoronaViruesue are the cause of the terror and murder of the people.
#IRDetainees",https://twitter.com/Human_Loves/status/1231324380099227648,turkish
"Paki sources confirming Formal Emergency is declared by GOP in #Balochistan province bordering #Iran .
#COVID19 #Corona #CoronaViruesue https://t.co/X7vDEVQuCG",https://twitter.com/MeghUpdates/status/1231278951357485056,turkish
"CM #Balochistan @jam_kamal  contacted PM @ImranKhanPTI &amp; Fed health ministry on d news coming from #iran regarding #CoronaViruesue cases.
Bln Govt sent teams of health dept 2 Iran border.DHOs directed 2 impose emergency
Special teams being deputed
CM Bln monitoring all operations",https://twitter.com/LiaquatShahwani/status/1231202739071397888,turkish
"#CoronaViruesue Is like a ( Spanish flue ) that infeacted about 500milion people in 1918-1920 the death toll estimated about 50 million or more, I think this #virus has made by powerfuls to decrease the population of the #world and impact the #Global #economic",https://twitter.com/RagirSaeed/status/1231187737262292993,turkish
"@cahamelmann @drjahanpur @WHO @saeednamaki @WHOEMRO The Islamic terrorist regime has been deliberately hiding the facts around the #CoronaViruesue. 
Could you please watch Iranians situation closely and do not let the regime to create another human tragedy?!",https://twitter.com/hashemasa/status/1231126739306180611,turkish
Don't take anything for granted. The DCI must investigate everything he gets on this seemingly better than mainstream media. #coronaviruskenya #coronavirus #CoronaViruesue #kantai #nairobihalflife #nairobiwesthospital Why are the Chinese struggling to infect us. https://t.co/mNUncJYt5i,https://twitter.com/JoelMbirika/status/1231001381718437888,turkish
