text,url,lang
"For so long time, we used to have much fear when hearing the sound of a warplane in the sky, but today, we're sure those warplanes we hear their sounds are not going to bomb neither a house, nor a school, nor a hospital, a market, a bakery..
They are 100% peaceful 
#BaharKalkanı https://t.co/bkFjmFHIJX",https://twitter.com/Kinpacci/status/1234103150921031680,turkish
"Meanwhile in Beirut, Lebanon!

#BaharKalkanı https://t.co/nByVUAG9MP",https://twitter.com/mohamad9t/status/1234122821292449797,turkish
"Neither the USA nor Russia nor Iran brought peace of mind to Syria.  Turkey will bring peace.
 #BaharKalkanı #Turkey 🇹🇷💥✈️ https://t.co/we1a5qM07k",https://twitter.com/4bdullahdogan/status/1234098797615230977,turkish
God protect Turkish soldiers ❤❤ #BAHARKALKANI #AzerbaijanstandswithTurkey https://t.co/C7TzTt4Pd5,https://twitter.com/zemimouu/status/1234134997356945409,turkish
"#BaharKalkanı we dont know if it was 2 or 3 air-crafts 
so what does the VAR says??? :D https://t.co/MXOR4Yb509",https://twitter.com/jaser56327103/status/1234081320663502848,turkish
"Excuse me how can i get to İdlib ? 
#turksilahlikuvvetleri #BaharKalkanı https://t.co/2Ks8fPIqDH",https://twitter.com/cicekklendiniz/status/1234109836717154304,turkish
"Operation 🇹🇷 
#BaharKalkanı #İdlib #İdlip https://t.co/RCT5OJ6lLi",https://twitter.com/TurkishtrArmy/status/1234123548555386880,turkish
#BaharKalkanı is going on guys https://t.co/oxeBjaCuWJ,https://twitter.com/NewWorl79576798/status/1234157858368958468,turkish
"Good luck Europe
▫️ #ΕΒΡΟΣ - Evros

#BaharKalkanı #Greece #Turkey #IStandWithGreece #GreeceUnderAttack #ΕΒΡΟΣ https://t.co/crjvnm4t5P",https://twitter.com/Cankeeen/status/1234092738464952320,turkish
"Kids , We didn’t come for petroleum , we came for showing the beauties of nature , we came to share our love , we came for creating a more livable world... #DünyanınEnGüçlüOrdusuyuz #bismilah #Turks #BAHARKALKANI #GreeceUnderAttack #سوريا #بسم_الله https://t.co/BiBhb13MuS",https://twitter.com/kayipdenizci1/status/1234216023534002176,turkish
Only Turkish man is enough for changing the world #BAHARKALKANI https://t.co/dIclCihAcu,https://twitter.com/gulnaz_bakan/status/1234233251163758592,turkish
1 Mart 2020 #baharkalkani https://t.co/nHyKxzRr2n,https://twitter.com/ihalilaksu/status/1234067538872545281,turkish
"How many air defense systems of the regime destroyed today?

#BAHARKALKANI https://t.co/4G6OxdrWPf",https://twitter.com/keremtgm/status/1234097955935838209,turkish
"Heroic Turkish soldier! 🇹🇷
#BaharKalkanı https://t.co/Tdu61pfwHE",https://twitter.com/rojdaorun/status/1234083609633599494,turkish
How many warplanes shot down by Turkish Air Force? #BaharKalkanı https://t.co/SYoY4GnAF4,https://twitter.com/suleymangng/status/1234129343225397248,turkish
"Spring comes with Turkey 🇹🇷

#BAHARKALKANI https://t.co/51rVA27gse",https://twitter.com/canataysanverdi/status/1234159129729564672,turkish
"Go ahead and crush the enemy.
May Allah protect the Turkish soldiers. Ameen
#BaharKalkanı https://t.co/zXrLALvtQ7",https://twitter.com/abdurrafridi/status/1234088481237983233,turkish
"Greek media: They are not refugees, they are terrorists.

Terrorist 👇🏻 

Please don't touch the Greeks. 🙏
#IStandWithGreece
#BaharKalkanı https://t.co/Y7CLFvzimH",https://twitter.com/CiftciGurcan/status/1234075889119506434,turkish
"How are you Taksim
#BaharKalkanı https://t.co/GGexvfuL9k",https://twitter.com/AbdoShAli66/status/1234180935618265091,turkish
"New drone footage showing how the Turkish Army destroys Assad regime’s facilities, tanks and armoured vehicles in Idlib released. 

#BaharKalkanı
#BaharKalkanıHarekatı
#Syria
#İdlip
#Turkey
#Russia

https://t.co/L4UI0NhfGB",https://twitter.com/slmhktn_eng/status/1234811053478903809,turkish
"Turkish Armed Forces artillery batteries continue to hit the positions of the Assad regime on the Idlib and Aleppo lines.
#OperationSpringShield
#BaharKalkanı https://t.co/kaYji8lF6T",https://twitter.com/delulardelular/status/1234349449650081792,turkish
This is Game of Drones #BaharKalkani   #Idlib #Pazarkule @Selcuk https://t.co/U6qaT81hKb,https://twitter.com/Kable351/status/1234271445779406849,turkish
#BAHARKALKANI hamd ile 🇹🇷💞🇹🇷 https://t.co/3xKV27jgKr,https://twitter.com/YilmazYetis_yy/status/1234232319747280902,turkish
Turkish pilots show what Turkey is tring to spread in Middle East #BaharKalkanı https://t.co/xPVULhUZ5J,https://twitter.com/mstfyirikoglu/status/1234219880037191681,turkish
"#Breaking 
Turkish drones did a great job today.  Assad regime and Russian-controlled (backed) many terrorist groups were destroyed one by one.
#OperationSpringShield
#BaharKalkanı https://t.co/CUNw5XV4iW",https://twitter.com/delulardelular/status/1234216417211437058,turkish
"#BaharKalkanı
welcome to the party.
@mod_russia

 https://t.co/Cr2KDIEv6Y",https://twitter.com/BerkayTan10711/status/1234210070675820544,turkish
Love is in the air 😍 #BaharKalkanı https://t.co/V2kxlKMADQ,https://twitter.com/KeskinerNihal/status/1234205098471018496,turkish
Aminnn🙏🏻🙏🏻  #BAHARKALKANI https://t.co/21KIq2ao2z,https://twitter.com/fatmafkb/status/1234202964589498368,turkish
"#BAHARKALKANI 

Erdogan's soldiers = ISIS https://t.co/iQOzr8LF5h",https://twitter.com/M_Shamsabadi/status/1234187991335284736,turkish
"Hit that.
 + we hit it, sir. 
-More hit
#درع_الربيع
#SpringShield 
#BaharKalkanı #Syria #Idlib   #سورياادلب🇹🇷🇹🇷🇹🇷 https://t.co/ew4w1p3JJ2",https://twitter.com/eserekli61/status/1234179279858159617,turkish
"#BaharKalkanı 🇹🇷🇹🇷
#OperationSpringShield 🇹🇷
My love for my country is in another level ❤️🇹🇷 https://t.co/M0XzPFMGmv",https://twitter.com/_violets8/status/1234176415937040384,turkish
"Selçuk Bayraktar, the man who changed the fate of the Middle East .
We're proud of you🇹🇷
#operationspringshield
#Turks 
#BAHARKALKANI https://t.co/MhXb9rm3LD",https://twitter.com/_emredgn_/status/1234155203471040513,turkish
"How many SU-24 down today?
#BAHARKALKANI https://t.co/26b9kYqkar",https://twitter.com/HK2433/status/1234152894590595072,turkish
"#BaharKalkanıHarekatı #BAHARKALKANI 
May Allah protect our brave Turkish army🇹🇷may the victory be ours🇹🇷♥️
🇹🇷🇹🇷🇹🇷Vur mehmedim🇹🇷🇹🇷🇹🇷 https://t.co/NCnJVIqZea",https://twitter.com/Hussein37489118/status/1234130553433096195,turkish
"#IndianMuslimsInDanger

kiling the muslims mother and her child.where are you wold #osasuna 
#BaharKalkanı #星街すいせい3D https://t.co/AQLG9GG5J0",https://twitter.com/ya_mahdi57/status/1234127906474991616,turkish
Last  army of islam is coming #BaharKalkanı https://t.co/EOX7vEFpdU,https://twitter.com/Awkward07424286/status/1234125569861746688,turkish
"It's rewind time
#BaharKalkanı https://t.co/UAZucdZ447",https://twitter.com/ucanvarlik/status/1234112564617007104,turkish
"Fine, we'll get you another one...

#BAHARKALKANI https://t.co/4itdZXT09w",https://twitter.com/SATILAY2/status/1234106488743960576,turkish
Amin. #BAHARKALKANI https://t.co/iYz0bsHTAO,https://twitter.com/Resul_1/status/1234092597821497344,turkish
