text,url,lang
"Kids , We didn’t come for petroleum , we came for showing the beauties of nature , we came to share our love , we came for creating a more livable world... #DünyanınEnGüçlüOrdusuyuz #bismilah #Turks #BAHARKALKANI #GreeceUnderAttack #سوريا #بسم_الله https://t.co/BiBhb13MuS",https://twitter.com/kayipdenizci1/status/1234216023534002176,turkish
#Dünyanınengüçlüordusuyuz İnna fetenna leke fethan Mubina.. https://t.co/mDM3ycTMFu,https://twitter.com/Sseminoo/status/1234230488128196610,turkish
"Aminnn.
#DünyanınEngüçlüOrdusuyuz https://t.co/q1i2quQ4Qn",https://twitter.com/ser_akincilar/status/1234214122776076293,turkish
Game of Drones #DünyanınEnGüçlüOrdusuyuz https://t.co/HQaPcEWsq5,https://twitter.com/nsyldrm06/status/1234220634416254976,turkish
This is Turkish Armed Forces #DünyanınEnGüçlüOrdusuyuz https://t.co/eoI43Nk7OL,https://twitter.com/nGS89612214/status/1234204832682168320,turkish
We said we dont like to war. We didnt say we didnt know! #dünyanınengüçlüordusuyuz https://t.co/CvwpNXKrNM,https://twitter.com/limitasimi/status/1234241538907090947,turkish
"#GeceyeBirSözBırak #samdaisyan #duenyanınengueclueordusuyuz Hello world and especially Europe, please a warm welcome for the refugees https://t.co/KSG71Sr21s",https://twitter.com/B_O_Z_O_K/status/1234257860286177281,turkish
"#DünyanınEnGüçlüOrdusuyuz
We are the most strongest army in the world
#WeAreAllTurkishSoldiers https://t.co/A3SNfnCOuK",https://twitter.com/lionintheforest/status/1234220569161355265,turkish
You know! we never rest..  Boom boom #TurkishArmedForces #cosmos #idlib #syria #DünyanınEnGüçlüOrdusuyuz #samdaisyan https://t.co/WhgJV0xzHj,https://twitter.com/isa_10der/status/1234259417861894148,turkish
"""Turkish army; No cleaner, stronger soldier was encountered in any army of the world than yours."" 🇹🇷 #DünyanınEnGüçlüOrdusuyuz https://t.co/o4j2Yte6Mw",https://twitter.com/CaelumProtector/status/1234267010013507584,turkish
Amin #DünyanınEnGüçlüOrdusuyuz https://t.co/7cZh7rIOlj,https://twitter.com/emrahcagli71/status/1234227399832821771,turkish
Confused! #DünyanınEnGüçlüOrdusuyuz https://t.co/zQUaHJxLSE,https://twitter.com/ibrahimyanik/status/1234266292221333506,turkish
"#Turks are in #idlip

#DünyanınEnGüçlüOrdusuyuz https://t.co/3OsrePZXbY",https://twitter.com/ZaidAttas/status/1234232922128994305,turkish
"Let's war on equal terms.  Let's see who is strong 💪 #NeMutluTürkümDiyene
#mehmetciğinyanındayız #DünyanınEnGüçlüOrdusuyuz https://t.co/ridsNhzf04",https://twitter.com/limitasimi/status/1234306095079985152,turkish
Do you want to syria-russia? Be brave. War like a lion... #sat #sas #DünyanınEnGüçlüOrdusuyuz https://t.co/d1begGuBfm,https://twitter.com/limitasimi/status/1234311279470358529,turkish
"Tanıştırayım KORAL Çok ses Getirecek 

Meet Turkey's KORAL Land-based, Mobile Electronic Warfare System -- If you haven't heard about it already, you'll be hearing a lot about it after these past two days.

#DünyanınEnGüçlüOrdusuyuz https://t.co/HHlIfUqptM",https://twitter.com/panzehirist2/status/1234226344705351689,turkish
"Those who did not know also learned, We said we do not want war, we did not say we do not know how to fight #DünyanınEnGüçlüOrdusuyuz https://t.co/MR5EPSk1VN",https://twitter.com/CSKNRSLN/status/1234249755531841537,turkish
"#GreeceUnderAttack they said ""the europeans are civilized"" but they havent different from animal at behaviour #DuenyanınEnGueclueOrdusuyuz",https://twitter.com/insan_tipik/status/1234229016225296384,turkish
"TSK - Turkish army is the only army that captures the devil in hell ... Do not test..  

"" We are not a nation that loves to shed blood.  If the subject is the homeland, we cut the vein of the world ""

#DünyanınEnGüçlüOrdusuyuz
Syria
Turkey https://t.co/7aNjQUnZv8",https://twitter.com/KorhanKoray/status/1234246932811386880,turkish
"#DünyanınEnGüçlüOrdusuyuz In 1921, the Entente States fought not with the Turkish Army, but with the faith of the Turkish Nation. And no army in this world can beat a believing nation! The #Turks believed!",https://twitter.com/kirmizipersona/status/1234204206900355072,turkish
Amin #DünyanınEnGüçlüOrdusuyuz https://t.co/GqWD5WPMn7,https://twitter.com/emrahcagli71/status/1234227343931138048,turkish
#DünyanınEnGüçlüOrdusuyuz Don't forget Gallipoli!,https://twitter.com/kirmizipersona/status/1234202833735516160,turkish
"The photograph on the left was taken after the Greek soldier intervened with the immigrants today.
The right is also a father and son who took refuge in Turkey. in Akçakale

#DünyanınEnGüçlüOrdusuyuz #Turkey #Greek https://t.co/SUx8gpyGTm",https://twitter.com/usuiiii/status/1234230947861667840,turkish
"We are here and ready!
 
#DünyanınEnGüçlüOrdusuyuz",https://twitter.com/dogan_soykan_/status/1234203159033151493,turkish
"#DünyanınEnGüçlüOrdusuyuz 
No doubt that Turkish forces are more. Powerful than brutal people and so called super powers of the world Pak-Turk forces are the pillars of every Muslim  country of tge world and these forces are against of them who kill innocent  Muslims Brutaly! 😡 https://t.co/K3BZtznAXy",https://twitter.com/InsafianRashid/status/1234338055013707776,turkish
"#DünyanınEnGüçlüOrdusuyuz
Wishing everyone a calm and peaceful day ..
https://t.co/gIBws78OA2",https://twitter.com/Bloggins4435/status/1234209623500034049,turkish
