text,url,lang
Keep safe po #COVID2019 https://t.co/ZgImNpvDyp,https://twitter.com/ssobangeloo/status/1237305596149239809,international
"Salamat Unibersidad ng Pilipinas! 

This is where our taxes SHOULD go. 
We need more budget for health and education NOT propaganda. 

***
FDA allows use of COVID-19 test kits developed by local scientists.
#COVID2019 https://t.co/X142wkeKv2",https://twitter.com/theskinsensei/status/1237228988902203393,international
"A 32-year-old New Jersey U.S. #COVID19  confirmed infected patient describes his #coronavirus  experience. He believes he caught it at a medical conference held in a NY,NY hotel in the beginning of March. #COVID2019 Both lungs quickly became infected; he's warning the virus SUCKS https://t.co/NZ9oIcsLUr",https://twitter.com/_____Tweety____/status/1237255262697734144,international
"32 seconds to visualize coronavirus outside the Mainland China.

#COVID19 #COVID2019
 https://t.co/TBHXd56ASB",https://twitter.com/xruiztru/status/1237307245504925696,international
"JUST IN | Panabo City Mayor Relampagos suspends classes in all levels until further notice. Executive order will be released. Stay updated. 
#COVID2019 
#covidphilippines #PanaboCity",https://twitter.com/PanaboOfficial/status/1237309546931949576,international
so simpson predicted that #COVID2019 #CoronavirusOutbreak #CoronaVirusUpdate https://t.co/gscYBznmGD,https://twitter.com/changazi8/status/1237287668670763008,international
"""One of Donald Trump's most important missteps in dealing with the coronavirus outbreak happened...two years ago when Trump ordered the shutdown of the White House National Security Council's entire global health security unit."" #COVID2019
https://t.co/J3yEXVSrS2",https://twitter.com/CAPAction/status/1237191476347633665,international
"Stay calm and say #Eyvallah

This is how Turkish President Recep Tayyip Erdogan and NATO Seretary General Jens Stoltenberg greeted each other to safeguard against coronavirus #Covid2019 https://t.co/rl2sYaALv0",https://twitter.com/trtworld/status/1237241773954498561,international
"Basically don’t be a cunt, wash your hands. #FlattenTheCurve #COVID2019 https://t.co/hOirmvxROD",https://twitter.com/JonathanPieNews/status/1237343388678131712,international
There’s a full on fight over toilet paper in morrisons 😂😂😂. This is what coronavirus is doing to people 😂😂. #COVID2019 #coronavirus https://t.co/MBL032TWhy,https://twitter.com/osaf678/status/1237333683511705605,international
"Hmmm 

#COVID2019

Ctto https://t.co/rkdG1AC4mL",https://twitter.com/memeyuuuhh/status/1237271192391712768,international
"Update: The suspension is moved until March 17 (tuesday), next week.

#COVID2019 https://t.co/k4GSgv7nvp",https://twitter.com/AteneOBF/status/1237245233957457922,international
"If you’ve ever been to toilets in PUP Sta. Mesa, you’re immune to any known kind of disease, including #COVID2019.",https://twitter.com/TedPylon/status/1237210052626272256,international
"Who are close contacts? And what is meant by contact tracing?

#COVID2019 https://t.co/wGWabpCb7M",https://twitter.com/HPA_MV/status/1237321237279342593,international
Your phone is filthy. Viruses can cling to glass surfaces for up to 96 hours. Do yourself a favor and take a second to clean up your electronics. Here's how: #COVID2019 https://t.co/YwlFZ67qmI,https://twitter.com/WIRED/status/1237354881423413248,international
So the board exam may be cancelled. Let’s wait for official announcement. #COVID2019,https://twitter.com/Januzs/status/1237250207558946816,international
Interesting times. #COVID2019 https://t.co/NR533MvwLa,https://twitter.com/mustaphahitani/status/1237220945170964481,international
Summary of data about the 33 patients who tested positive from #COVID2019 https://t.co/Bk4XWoBoh1,https://twitter.com/hexbrizzy/status/1237305419703259136,international
WATCH: Very clear explanation of #COVID2019 #COVID Part 2 of 2 https://t.co/qfW2emY78b,https://twitter.com/i_am_Mulawin/status/1237223657136504832,international
"This is how corona virus is spread 
#COVID2019 #CoronavirusOutbreak https://t.co/yL6Rv7P4kD",https://twitter.com/coronavirusflu1/status/1237188388240920576,international
#COVID2019 Me when someone coughs near me: https://t.co/ZOzrJgZaU3,https://twitter.com/unasseptable/status/1237337339032154112,international
Officially done with the internet!🤣🤣🤣#COVID2019 #JohnTravolta https://t.co/qVsO3n6pO9,https://twitter.com/AmmataCornwell/status/1237194568623366144,international
"No spitting in public
#COVID2019 
#2019nCoV 
#CoronavirusOutbreak 
#Coronavid19 
#COVID 
#Italy 
#us 
#Australia 
#USA 
#United 
#Germany 
#Korea
#Japan https://t.co/loVstbKUms",https://twitter.com/yixiaohan1/status/1237255724620627968,international
We have taken the decision to SUSPEND all running across our 20 groups until the #COVID2019 situation is resolved. This decision is being taken to protect all of our runners - but most especially those living in #Directprovision - We will continue to offer support remotely https://t.co/7h9dthVtSB,https://twitter.com/SanctuaryRunner/status/1237344106831060994,international
closing all the private colleges while keeping the majority of the public ones open is the most elitist fucking thing ever #cuny #COVID2019,https://twitter.com/thrjri/status/1237224298617724929,international
The only thing we need to shout about with #COVID2019 is to WASH YOUR HANDS please don't take short cuts it's something we should all be doing anyway. https://t.co/4ofyP6BObJ,https://twitter.com/WestmorlandCare/status/1237253569591607296,international
"Chronology of #COVID2019 spreading across the globe

The outbreak speed in #Iran further proves this regime has been lying about this catastrophe from day one.

 https://t.co/jimOsoMp2e",https://twitter.com/Laaask2/status/1237303311964835841,international
WATCH: Very clear explanation of #COVID2019 #COVID Part 1 of 2 https://t.co/45IrdwN9u2,https://twitter.com/i_am_Mulawin/status/1237222169404264448,international
Protec yourself before you wrecc yourself #COVID2019 https://t.co/A3a5N4ebLJ,https://twitter.com/FoniLunboy/status/1237339850065481728,international
i made a thing..... #COVID2019 #NCT127 https://t.co/ZeMV6T0pjj,https://twitter.com/_markgeolli/status/1237240301309161472,international
"Me on the Tom Joyner Cruise  now that travel cruise tickets are $20

#COVID2019 https://t.co/3EoY2647uS",https://twitter.com/tariqnasheed/status/1237192140607741952,international
One reason @POTUS &amp; his enablers failed to contain #COVID2019 is due to the myopic focus on China. The virus was also carried into the US from other countries &amp; US travelers. Calling it Chinese coronavirus is scientifically wrong &amp; as stupid as calling it the Italian coronavirus. https://t.co/T5SPlSaKaA,https://twitter.com/tedlieu/status/1237218087004295168,international
#COVID2019 Finally India shares two SARS-CoV-2 genome sequences. See details below - https://t.co/IAxZqYYUJK,https://twitter.com/yasVEENA/status/1237280155954864128,international
"*NEW case in Maryland.

This makes 6 total cases in the state of Maryland.

#COVID2019 https://t.co/a1xzpwLl1A",https://twitter.com/CoronaNewsUSA/status/1237355932339834882,international
#COVID2019 what a time in the world . #COVID2019 https://t.co/9cDO3WAQeR,https://twitter.com/BacklinxService/status/1237256306752458752,international
"The #Coronavirus Costco Toilet Paper Dash time trials.
#Naples #toiletpaper
#Italy #lockdown #Wuhan #Foggia #coronavirus #COVID19 #Floridacoronavirus #CoronavirusOutbreak #COVID2019 #WuhanVirus #CoronavirusOutbreak  #italylockdown #CoronaVirusUpdate https://t.co/oTDkdFmq6d",https://twitter.com/DailyNe25683877/status/1237188109151895552,international
"Wash your hands people, it ain’t that hard..... #COVID2019 #coronavirus https://t.co/mpl6DkUKsM",https://twitter.com/World_Thinker_/status/1237251079496183809,international
The highlight of today's caucus that proves not all delegates deserves to represent a whole nation. #COVID2019 https://t.co/jw1iYcTAQJ,https://twitter.com/LouieRen18/status/1237231120548114432,international
"LTPH CARES FOR YOUR HEALTH AND SAFETY 

Here are precautionary guidelines to help in preventing on the spread of the virus. 

And a step by step guide on washing your hands properly while singing 'Always You'
#COVID2019 
#LTPH2020 https://t.co/91xJzsrLRr",https://twitter.com/TEAMLOUISPH/status/1237238986306777088,international
"Keep safe everyone!
#COVID2019 https://t.co/XLJi9PQPOg",https://twitter.com/Shyroceruss/status/1237208965663961095,international
#COVID2019 World's shortest horror movie https://t.co/E2MsypOBbu,https://twitter.com/JasbirGillKSMP/status/1237222418655010816,international
Lollll the only #COVID2019 joke I can still laugh at https://t.co/J6c6aYOJuw,https://twitter.com/TheIDApprentice/status/1237191153859964928,international
"Conspiracy of the power holders. Even though their corrupted actions are evidently exposed, no one can pass objective judgements upon them. Any ideas how to flee from this situation? When will this terror end? #ไม่เอาควายแดง #COVID2019 #ไม่เอารัฐประหาร https://t.co/2WwYOOy5EW",https://twitter.com/pao53628165/status/1237269307379204096,international
"Some of the most crowded places in the world are empty now. 😢
#COVID2019 https://t.co/pQmRMYaug8",https://twitter.com/alihs4/status/1237257963175378945,international
Dear UK loo roll hoarders: suggest you install one of these instead #COVID2019 https://t.co/09JTxJLPoy,https://twitter.com/NeenaModi1/status/1237208746230550528,international
