text,url,lang
"Sleep 😵
69/366 #2020NewYear https://t.co/5hWSo7CNXi",https://twitter.com/Skyyyyy366/status/1237039090719023107,international
"Awards 🧐
68/366 #2020newyear https://t.co/TkvmpN9Haa",https://twitter.com/Skyyyyy366/status/1236645421843271681,international
"blind🌠
62/366 #2020newyear https://t.co/fZLHwhJfo0",https://twitter.com/Skyyyyy366/status/1234472645015433216,international
"broke 🗾
61/366 #2020newyear https://t.co/MHNLoiOzlZ",https://twitter.com/Skyyyyy366/status/1234104642277007360,international
"full😎
67/366 #2020newyear https://t.co/k45gceaeoa",https://twitter.com/Skyyyyy366/status/1236301151726759937,international
"Between 🤟
63/366 #2020newyear https://t.co/yOs2d6V4E4",https://twitter.com/Skyyyyy366/status/1234836876646703106,international
"A moment 🤯
65/366 #2020NewYear https://t.co/9UFUWFEzEc",https://twitter.com/Skyyyyy366/status/1235482946582106112,international
Don’t kno how to use Twitter .. I feel corny lol #2020newyear,https://twitter.com/AdoreNinaCoca/status/1234550440844550144,international
"Rurouni Kenshin 2020
https://t.co/Et8ODCBb67

#rurounikenshin
#anime #samuraix #2020newyear
#twitter #FGO #download https://t.co/7p9OTMJ27l",https://twitter.com/RKarlotas/status/1234618107873771526,international
"I think a year has been cursed this year !
#2020newyear
🖤💭",https://twitter.com/BlckRanbow8/status/1234584566725271552,international
hoping to up your baking game this year? Then invest in these utensils https://t.co/LMfH6xjvv9 #2020NewYear #bakeoff,https://twitter.com/icing_babe/status/1234464467209068544,international
"In #2020NewYear I will be posting my Ken #Griffey, Jr. periodical collection in chronological order. This could take awhile. All pictures are from my personal collection. #Mariners #Reds #WhiteSox #Phillies #MLB 

Periodical of the Day - Soorts Illustrated for Kids April 1996 : https://t.co/32TPanP2gH",https://twitter.com/Griffeyti/status/1237349755778404353,international
Anything bad which is not allowed in civilized society is normal in Pakistan.. I read comments of men and women who are trashing a woman just cause she raised her voice .. 😔 is it really #2020NewYear ?,https://twitter.com/asmasyed99/status/1235439971106017285,international
"2020 New design GOB P2.5 Indoor LED Display
GOB packaging technology is also called ""Glue On Board"", which uses the most advanced transparent material in China to package the substrate and its LED packaging unit to form effective protection. #2020newyear #leddisplay #ledscreen https://t.co/4HQeH3XkGl",https://twitter.com/Lina10109028/status/1235733745887350784,international
If you don't inspire me.... Boom!!! I will trash you like cabbage bin😒😏🙄☝☝ No time for shit!!!s 😂 this is #2020Vision #2020newyear biko😂 https://t.co/em5pUgnj99,https://twitter.com/acspark12/status/1235070388922503168,international
"If I gotta let the seat down, you gotta let it up. #Compromise #2020NewYear",https://twitter.com/LonnDonIV/status/1235614246202982401,international
"#Glaucoma is the most common cause of irreversible #sightloss in the world. It is estimated 11.2 million people will be #blind secondary to #glaucoma by the end of this year #2020NewYear 
#WorldGlaucomaWeek Find out more about the condition in this video https://t.co/2ZOMlUSfKR",https://twitter.com/jutley_gurjeet/status/1237013505276084224,international
2 Mths since the ball dropped in NYC.  How is your #2020newyear going so far? #actionplans #network #businesswoman #BusinessGrowth https://t.co/OhHTmJCBi6,https://twitter.com/ConsultingBdn/status/1234472873873551360,international
I will never beg for anyone stay you got the Wrong Woman for that you want to leave let me get the door for you 🚪 😏 #lgbtqtwitter #2020newyear,https://twitter.com/Dasypooh/status/1236640024306700293,international
"In #2020NewYear I will be posting my Ken #Griffey, Jr. periodical collection in chronological order. This could take awhile. All pictures are from my personal collection. #Mariners #Reds #WhiteSox #Phillies #MLB 

Periodical of the Day - Beckett Tribute     The Natural 1996 : https://t.co/zwbNffcfYh",https://twitter.com/Griffeyti/status/1236995992685330432,international
"@yasmeen_9 So darring coming soon,#2020newyear June and July 😫😩😖",https://twitter.com/iarifhameed/status/1236371711605514240,international
